2025-02-09T01:15:00, [15171, 15171, 15155, 15123, 15171, 15155, 15235, 15171, 15123, 15171], [12723, 12723, 12739, 12707, 12739, 12707, 12723, 12739, 12723, 12723], [9218, 9218, 9234, 9202, 9234, 9234, 9202, 9282, 9234, 9202]
2025-02-09T01:30:00, [15219, 15171, 15139, 15171, 15187, 15203, 15171, 15251, 15171, 15155], [12739, 12739, 12723, 12723, 12739, 12739, 12707, 12723, 12739, 12707], [9218, 9234, 9250, 9218, 9202, 9234, 9218, 9218, 9250, 9218]
2025-02-09T01:45:00, [15187, 15187, 15171, 15187, 15203, 15107, 15187, 15283, 15187, 15139], [12739, 12739, 12739, 12723, 12723, 12723, 12739, 12739, 12739, 12723], [9202, 9218, 9218, 9234, 9218, 9218, 9218, 9234, 9218, 9202]
2025-02-09T02:00:00, [15187, 15187, 15171, 15187, 15187, 15187, 15187, 15139, 15171, 15187], [12739, 12723, 12739, 12739, 12755, 12723, 12739, 12739, 12739, 12739], [9218, 9218, 9218, 9218, 9234, 9218, 9234, 9234, 9218, 9218]
2025-02-09T02:15:00, [15203, 15171, 15171, 15203, 15187, 15155, 15187, 15187, 15187, 15187], [12739, 12723, 12739, 12707, 12739, 12787, 12723, 12755, 12739, 12723], [9234, 9234, 9218, 9218, 9218, 9218, 9218, 9202, 9170, 9218]
2025-02-09T02:30:00, [15139, 15171, 15171, 15155, 15123, 15075, 15171, 15155, 15155, 15171], [12707, 12723, 12723, 12739, 12707, 12723, 12755, 12707, 12675, 12707], [9218, 9186, 9234, 9218, 9234, 9202, 9202, 9202, 9218, 9218]
2025-02-09T02:45:00, [15139, 15299, 15155, 15155, 15139, 15155, 15139, 15139, 15139, 15155], [12627, 12659, 12691, 12707, 12691, 12707, 12707, 12691, 12659, 12723], [9202, 9202, 9218, 9234, 9170, 9170, 9186, 9202, 9186, 9202]
2025-02-09T03:00:00, [15139, 15139, 15139, 15187, 15139, 15155, 15139, 15123, 15139, 15139], [12675, 12691, 12707, 12691, 12691, 12707, 12675, 12691, 12675, 12643], [9186, 9202, 9186, 9170, 9186, 9186, 9170, 9186, 9234, 9186]
2025-02-09T03:15:00, [15139, 15123, 15107, 15107, 15123, 15155, 15123, 15139, 15107, 15235], [12675, 12691, 12675, 12675, 12675, 12675, 12659, 12691, 12675, 12643], [9234, 9170, 9186, 9202, 9170, 9170, 9186, 9186, 9170, 9090]
2025-02-09T03:30:00, [15043, 15107, 15027, 15091, 15123, 15091, 15107, 15091, 15107, 15107], [12659, 12691, 12627, 12675, 12675, 12627, 12659, 12675, 12675, 12643], [9170, 9170, 9186, 9170, 9170, 9170, 9170, 9186, 9186, 9170]
